val_SSIM,val_PSNR,epoch,val_loss2,step,val_loss,val_loss1,train_loss1,train_loss2,train_loss,test_PSNR,test_loss2,test_loss,test_SSIM,test_loss1
0.007984578609466553,5.42930793762207,0,0.2864634394645691,1,0.5612213015556335,0.27475786209106445,,,,,,,,
,,0,,1,,,0.2868725061416626,0.270193487405777,0.557066023349762,,,,,
0.007869498804211617,4.985935688018799,1,0.3172535002231598,3,0.575377881526947,0.25812438130378723,,,,,,,,
,,1,,3,,,0.2729230523109436,0.28925105929374695,0.5621741414070129,,,,,
0.007875582203269005,4.557356834411621,2,0.3501582145690918,5,0.5866535902023315,0.23649539053440094,,,,,,,,
,,2,,5,,,0.2553052306175232,0.30000999569892883,0.5553152561187744,,,,,
0.007772570010274649,3.8484537601470947,3,0.4122442305088043,7,0.6190007328987122,0.20675647258758545,,,,,,,,
,,3,,7,,,0.23206298053264618,0.32500970363616943,0.5570726990699768,,,,,
0.008007933385670185,3.521221160888672,4,0.4445062577724457,9,0.6096445918083191,0.16513831913471222,,,,,,,,
,,4,,9,,,0.19943086802959442,0.3682384490966797,0.5676693320274353,,,,,
,,5,,10,,,,,,3.5211009979248047,0.4445185661315918,0.6105327606201172,0.008049000054597855,0.166014164686203
